                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.84234,                 1.1841,                  1.143,                0.50378,                0.52175,                0.49927,                0.38817,                0.88915,                 1.2346,                 1.1311,               0.001486,               0.001486,               0.001486
                     88,                0.84059,                 1.1761,                 1.1401,                0.50393,                0.52532,                0.49904,                0.38805,                0.88936,                 1.2348,                 1.1309,               0.001387,               0.001387,               0.001387
                     89,                0.83413,                 1.1622,                 1.1385,                0.49763,                0.53284,                0.50008,                0.38904,                0.88928,                 1.2345,                 1.1305,               0.001288,               0.001288,               0.001288
                     90,                0.82755,                 1.1443,                  1.132,                0.50355,                0.52928,                0.49984,                0.38899,                0.89002,                  1.236,                 1.1306,               0.001189,               0.001189,               0.001189
                     91,                0.77738,                 1.0224,                 1.0877,                0.49788,                0.52858,                0.50098,                0.38895,                0.89028,                 1.2366,                 1.1304,                0.00109,                0.00109,                0.00109
                     92,                0.76629,                0.99546,                 1.0796,                0.49723,                0.52861,                0.50132,                0.39008,                0.88968,                  1.237,                 1.1299,               0.000991,               0.000991,               0.000991
                     93,                0.75799,                0.97388,                 1.0743,                0.47335,                0.55174,                0.50143,                 0.3909,                0.89025,                 1.2376,                 1.1304,               0.000892,               0.000892,               0.000892
                     94,                0.75013,                0.95586,                 1.0692,                0.46992,                0.55262,                0.50126,                0.39109,                0.89073,                 1.2393,                 1.1306,               0.000793,               0.000793,               0.000793
                     95,                0.74202,                0.93479,                 1.0648,                0.47173,                0.55569,                0.50163,                0.39123,                0.89163,                 1.2409,                 1.1315,               0.000694,               0.000694,               0.000694
                     96,                0.73662,                0.92132,                 1.0605,                 0.4737,                0.55183,                0.50099,                0.39097,                0.89233,                 1.2428,                 1.1323,               0.000595,               0.000595,               0.000595
                     97,                0.72625,                0.90134,                 1.0519,                0.47659,                0.54169,                0.50063,                0.39036,                0.89356,                 1.2455,                 1.1333,               0.000496,               0.000496,               0.000496
                     98,                0.72196,                 0.8897,                 1.0498,                0.52051,                0.51037,                 0.5021,                0.39152,                0.89398,                 1.2478,                 1.1333,               0.000397,               0.000397,               0.000397
                     99,                0.71172,                0.86785,                 1.0423,                0.52911,                 0.5058,                0.50264,                 0.3915,                0.89482,                 1.2505,                  1.134,               0.000298,               0.000298,               0.000298
                    100,                0.71042,                0.86209,                 1.0404,                0.53271,                0.50711,                0.50202,                0.39145,                0.89612,                 1.2538,                  1.135,               0.000199,               0.000199,               0.000199
